term,Topic,Freq,Term
0,1,0.3471808529124083,39
0,2,0.6943617058248166,39
1,1,0.7803035724425872,amazing
2,2,0.47157074286747197,beautiful
2,4,0.47157074286747197,beautiful
3,4,0.7478923772845372,building
4,1,0.6330303228099782,cathedral
4,2,0.15825758070249454,cathedral
4,5,0.15825758070249454,cathedral
5,1,0.7719837455033505,center
6,1,0.7777577327861411,church
7,1,0.7767430027073902,famous
8,1,0.43086787748723415,garden
8,3,0.43086787748723415,garden
9,1,0.8729698809726633,good
10,1,0.42606407965133675,great
10,2,0.42606407965133675,great
11,3,0.7430388454163978,greenhouse
12,4,0.48311813063216374,life
13,1,0.4414909328958292,located
13,5,0.4414909328958292,located
14,1,0.8268774127869384,lund
14,5,0.06890645106557819,lund
14,6,0.06890645106557819,lund
15,1,0.7760626282337958,main
16,2,0.37407455822808067,museum
16,6,0.37407455822808067,museum
17,1,0.4298741263198381,park
17,3,0.4298741263198381,park
18,3,0.4835772870087284,place
18,8,0.4835772870087284,place
19,1,0.42393792995407314,scenery
19,2,0.42393792995407314,scenery
20,4,0.49997195610231815,southern
20,5,0.49997195610231815,southern
21,1,0.4291770928366418,structure
21,4,0.4291770928366418,structure
22,3,0.505692540367016,sweden
22,5,0.505692540367016,sweden
23,1,0.7687059232213644,time
24,7,0.44661166838953953,train
25,1,0.6466035014787944,university
25,6,0.3233017507393972,university
26,1,0.44140005592028964,visit
26,6,0.44140005592028964,visit
27,3,0.5049502325040274,went
27,6,0.5049502325040274,went
