,languages,"[Chinese, (Sim.)]_Freq","[Chinese, (Trad.)]_Freq",[Danish]_Freq,[Dutch]_Freq,[English]_Freq,[French]_Freq,[German]_Freq,[Italian]_Freq,[Japanese]_Freq,[Norwegian]_Freq,[Polish]_Freq,[Portuguese]_Freq,[Russian]_Freq,[Spanish]_Freq,[Swedish]_Freq,[Turkish]_Freq
0,"[Chinese, (Sim.)]_Freq",1.0,0.7628857227152884,0.5327171952839086,0.5602321885955464,0.0,0.43554158213829686,0.736783259002915,0.12583997596805954,0.6693726832139457,0.4525490853976531,0.5710947565196912,0.40764532713798696,0.580305608432283,0.4065434400059069,0.029523607492848825,0.589341925681896
1,"[Chinese, (Trad.)]_Freq",0.7628857227152884,0.9999999999999998,0.6615204079335492,0.4011450681555856,0.0,0.5982381068695981,0.8602384399409884,0.030268621411644516,0.741462352387074,0.20165745509346014,0.6345804263738437,0.4465800833348415,0.8247213974255319,0.5873384432036789,0.0,0.6145412402664687
2,[Danish]_Freq,0.5327171952839086,0.6615204079335492,1.0,0.4471314362710449,0.004154084215079792,0.7532286552786829,0.6832730749885305,0.0,0.5172489868301743,0.20670028871421317,0.45959580416966156,0.5748043809299993,0.5685198409546189,0.7305135779666088,0.03363417758383824,0.4314619159764715
3,[Dutch]_Freq,0.5602321885955464,0.4011450681555856,0.4471314362710449,0.9999999999999998,0.0015171423308308599,0.3330951710998218,0.4682850979125139,0.10569814280656371,0.39573622952051124,0.20392777660535305,0.4648255571015542,0.28687639023987505,0.37752243607886216,0.29471411615408405,0.007601816502279353,0.3827850379131895
4,[English]_Freq,0.0,0.0,0.004154084215079792,0.0015171423308308599,1.0,0.3600092424555775,0.0,0.058850409135012945,0.03176789372082279,0.0,0.020822516723547464,0.28229417284459263,0.011764239548874967,0.33154092379604744,0.0,0.040005568176242956
5,[French]_Freq,0.43554158213829686,0.5982381068695981,0.7532286552786829,0.3330951710998218,0.3600092424555775,1.0000000000000002,0.5815179682373212,0.1573969618917374,0.47838488741621626,0.1517227875342294,0.45864155747715923,0.6101855415720767,0.5407194536642159,0.7801574335995314,0.0,0.3842108697615467
6,[German]_Freq,0.736783259002915,0.8602384399409884,0.6832730749885305,0.4682850979125139,0.0,0.5815179682373212,1.0,0.0,0.6872512639488727,0.15952632284846366,0.5738024735762488,0.40972551948351904,0.7590244396701002,0.613735883126045,0.0,0.5838483678505151
7,[Italian]_Freq,0.12583997596805954,0.030268621411644516,0.0,0.10569814280656371,0.058850409135012945,0.1573969618917374,0.0,0.9999999999999999,0.017757200637082166,0.14418577786199768,0.4051329161774971,0.01049585784634832,0.10460012676213024,0.03195157947675232,0.009996919255249988,0.0
8,[Japanese]_Freq,0.6693726832139457,0.741462352387074,0.5172489868301743,0.39573622952051124,0.03176789372082279,0.47838488741621626,0.6872512639488727,0.017757200637082166,1.0,0.26305913780379325,0.5949809643814787,0.41105710220211306,0.6154136467535595,0.4233934703271224,0.0,0.6139933164937702
9,[Norwegian]_Freq,0.4525490853976531,0.20165745509346014,0.20670028871421317,0.20392777660535305,0.0,0.1517227875342294,0.15952632284846366,0.14418577786199768,0.26305913780379325,1.0000000000000002,0.25135595502210495,0.22798507938608223,0.14183097585650592,0.1395134510924367,0.0,0.24975982559043683
10,[Polish]_Freq,0.5710947565196912,0.6345804263738437,0.45959580416966156,0.4648255571015542,0.020822516723547464,0.45864155747715923,0.5738024735762488,0.4051329161774971,0.5949809643814787,0.25135595502210495,1.0,0.42347007467341014,0.5685585012811658,0.3942622452151375,0.0,0.5622318929630521
11,[Portuguese]_Freq,0.40764532713798696,0.4465800833348415,0.5748043809299993,0.28687639023987505,0.28229417284459263,0.6101855415720767,0.40972551948351904,0.01049585784634832,0.41105710220211306,0.22798507938608223,0.42347007467341014,1.0000000000000002,0.38358973076583314,0.630090954337899,0.05131237039651076,0.4045248825972569
12,[Russian]_Freq,0.580305608432283,0.8247213974255319,0.5685198409546189,0.37752243607886216,0.011764239548874967,0.5407194536642159,0.7590244396701002,0.10460012676213024,0.6154136467535595,0.14183097585650592,0.5685585012811658,0.38358973076583314,1.0,0.5734711042230591,0.0,0.5304540238776282
13,[Spanish]_Freq,0.4065434400059069,0.5873384432036789,0.7305135779666088,0.29471411615408405,0.33154092379604744,0.7801574335995314,0.613735883126045,0.03195157947675232,0.4233934703271224,0.1395134510924367,0.3942622452151375,0.630090954337899,0.5734711042230591,0.9999999999999999,0.0,0.352970996483725
14,[Swedish]_Freq,0.029523607492848825,0.0,0.03363417758383824,0.007601816502279353,0.0,0.0,0.0,0.009996919255249988,0.0,0.0,0.0,0.05131237039651076,0.0,0.0,1.0,0.0
15,[Turkish]_Freq,0.589341925681896,0.6145412402664687,0.4314619159764715,0.3827850379131895,0.040005568176242956,0.3842108697615467,0.5838483678505151,0.0,0.6139933164937702,0.24975982559043683,0.5622318929630521,0.4045248825972569,0.5304540238776282,0.352970996483725,0.0,1.0000000000000002
