[English],1,30,3,5,"June 13, 2018 ",Great venue for events,"Veberod, Sweden","Organized a smaller event here and their services were absolutely worth every penny. They were helpful setting up, rearranging the place for our needs, giving a hand during the event."
[Swedish],15,45,4,4,"November 29, 2018 ",Brunch,,"Tog med familjen i lördags för brunch och blev inte besviken. Visst, det är inte billigt men man får en...More"
[Swedish],15,1,,5,"November 16, 2018 ",Amazing brunch och lunch,,"Fantastisk mat. Både brunch och lunch är det mycket bra utbud och smaker.
Rekommenderar stark för alla som inte har...More"
[Swedish],15,24,9,4,"October 4, 2018 ",Lunchbesök ,"Lund, Sweden","Avspänd trevlig miljö. Kom lite efter lunchrusning vilket ju är en fördel. Tre alternativ att välja mellan, pasta, kött veg....More"
[Swedish],15,8,2,4,"September 23, 2018 ",Brunch ,"Lund, Sweden","Här finns lunds bästa och prisvärdaste brunch.
Mycket mat och god mat.
Rostbiffen är fantastiskt god"
[Swedish],15,5,,5,"August 25, 2018 ",Spännande lokal och god mat!,"Lund, Sweden",Det känns supertrevligt att sitta inne i den spännande lokal på Mejeriet. Jag åt brunch där och det var ett...More
[Swedish],15,1,1,5,"April 18, 2018 ",Lunch,,"Lund bästa lunch! Alltid fantastisk mat och trevlig personal. Brukar alltid äta dagens, men finns alltid veckans pasta, fisk och...More"
[Swedish],15,14,1,3,"November 25, 2017 ",Jazzklubb och medioker mat,"Malmo, Sweden","Musik i världsklass, maten var ganska kass. Åt deras charkplanka, vännerna åt rostbiff och fisk och ingen var speciellt imponerad....More"
[Swedish],15,1,,5,"October 26, 2017 ",Bra lunch!,"Lund, Sweden","Bra lunch i härligt kulturhus! 
Trevlig miljö och bra bemötande. 
Bra arrangemang, både film, musik, humor och bra mat och...More"
[Swedish],15,385,49,4,"July 13, 2017 ",Humor i Lund,"Lund, Sweden","Humorterrassen på torsdagkvällar på Mejeriet kan vara absolut supertoppen och så var det ikväll.

Kom vid 19-tiden och då var...More"
[Swedish],15,132,17,3,"June 29, 2017 ",Quiz och mat,"Uppsala, Sweden",Gick dit för att delta i quizzet. Det var väldigt roligt och trevligt! Så själva quizzandet får 5 av 5....More
[Swedish],15,95,14,5,"November 27, 2016 ",Jättebra brunch,,Väldigt god söndagsbrunch! Mycket att välja på och man blev verkligen mätt. För student kostade det 149 kr och tror...More
[Swedish],15,167,44,4,"October 24, 2016 ",En utomordentlig söndagsbrunch,"Malmo, Sweden","Så utomordentlig att man bör boka bord. Fullsatt, mest av bakfulla studenter som försöker reparera skadorna från gårdagen. Gott om...More"
[Swedish],15,1,,2,"July 21, 2016 ",Humorterassen,,"Cheap tricks! Cesarsallad, blöt sallad, stenhård bacon, gott vin och goda drinkar, citronpaj, färdiga formar med fyllning!?!?!"
[Swedish],15,39,7,4,"August 22, 2015 ",Brunch,Lund,Väldigt god brunch med många alternativ. Tyvärr så är lokalerna trista och väldigt mörka. Men kan man sitta på uteplatsen...More
[Swedish],15,30,6,2,"July 30, 2014 ",Tar tid,Lund,En bohemisk restaurang. Det tar tid att få sin mat så se till att ni har gott om tid. Maten...More
[Danish],1,11,2,4,"January 25, 2014 ",Bedste brunch i Lund,"Lund, Sweden",Vi har været der flere gange og vender tilbage altid. Super lækkert udvalg af varmt og koldt. Laks og lækre...More
